difficulty,class_name,class_label,level,win_rate,avg_rounds_to_kill,avg_rounds_all,avg_combo_len,max_combo_len,finisher_rate,avg_damage_per_attack,avg_end_hp_ratio,samples
easy,warrior,Warrior,1,1.0,3.55075,3.55075,1.0,1,0.0,36.2668206757147,0.7324172413793123,4000
easy,warrior,Warrior,2,1.0,2.5885,2.5885,1.547050700335372,2,0.0,66.27816137305189,0.846369565217376,4000
easy,warrior,Warrior,3,1.0,2.669,2.669,1.8605139963695423,3,0.0,82.19174548581255,0.8549194915254483,4000
easy,warrior,Warrior,4,1.0,2.4645,2.4645,2.123569794050343,4,0.19794050343249428,111.04056584148117,0.8743367875647904,4000
easy,warrior,Warrior,5,1.0,2.503,2.503,2.2776192417448025,5,0.16561353444761517,128.00264981655116,0.8728907766990321,4000
easy,warrior,Warrior,6,1.0,2.52,2.52,2.4474672622068825,6,0.16739417318038777,147.59760430413155,0.8939878318584144,4000
easy,warrior,Warrior,7,1.0,2.615,2.615,2.4779116465863456,7,0.1578019394651778,161.09374081692624,0.890346074380184,4000
easy,warrior,Warrior,8,1.0,2.58175,2.58175,2.6858617950754566,8,0.1738482922954726,188.92920969023035,0.8959408914728354,4000
easy,warrior,Warrior,9,1.0,2.6095,2.6095,2.831548963756016,9,0.1899616933503585,208.23867989392005,0.9006843065693432,4000
easy,warrior,Warrior,10,1.0,2.6,2.6,2.963455476753349,10,0.19523246650906226,235.8677107959023,0.90335344827588,4000
easy,warrior,Warrior,11,1.0,2.511,2.511,3.2307613902762204,11,0.22026297013556212,273.99480175313425,0.9100528052805216,4000
easy,warrior,Warrior,12,1.0,2.5025,2.5025,3.474590163934426,12,0.238422131147541,303.79118852459015,0.9181982758620579,4000
easy,warrior,Warrior,13,1.0,2.4775,2.4775,3.671666494258819,13,0.2549912071997517,340.046239784835,0.9220858208955006,4000
easy,warrior,Warrior,14,1.0,2.405,2.405,4.0080059777967545,14,0.2764730999146029,388.17805294619984,0.9252654929577385,4000
easy,warrior,Warrior,15,1.0,2.3055,2.3055,4.520120053357047,15,0.30902623388172523,453.4181858603824,0.9361583557951587,4000
easy,warrior,Warrior,16,1.0,2.22425,2.22425,5.098483971762527,16,0.3276241175789839,527.4817729429465,0.94068475452193,4000
easy,warrior,Warrior,17,1.0,2.183,2.183,5.50306386990337,17,0.350930945086024,588.9310629271741,0.9424268750000129,4000
easy,warrior,Warrior,18,1.0,1.9825,1.9825,6.61986256968754,18,0.38039673278879815,731.9155970439517,0.9569573317307629,4000
easy,warrior,Warrior,19,1.0,1.8915,1.8915,7.8446773754424175,19,0.4106997005172883,875.7728015246392,0.9607025462962897,4000
easy,warrior,Warrior,20,1.0,1.834,1.834,8.369040942232193,20,0.41390914189568145,994.7683679192372,0.9636233258928569,4000
easy,assassin,Assassin,1,1.0,2.94575,2.94575,1.0,1,0.0,45.63241422111889,0.7489798387096586,4000
easy,assassin,Assassin,2,1.0,2.2475,2.2475,1.6234639462091351,2,0.0,80.39346162763738,0.8514785714285553,4000
easy,assassin,Assassin,3,1.0,2.11075,2.11075,2.0343384615384617,3,0.0,108.7264,0.8655624999999837,4000
easy,assassin,Assassin,4,1.0,1.94,1.94,2.4079914472805024,4,0.2929306427903247,147.76934384605104,0.8966280487805047,4000
easy,assassin,Assassin,5,1.0,1.9015,1.9015,2.727098976109215,5,0.2711262798634812,181.760409556314,0.9048892045454604,4000
easy,assassin,Assassin,6,1.0,1.859,1.859,2.9491076408254324,6,0.2667317345231456,223.37841606246513,0.9129574468085218,4000
easy,assassin,Assassin,7,1.0,1.83725,1.83725,3.1890667044328,7,0.2709247981872256,258.8248123495256,0.9163800000000083,4000
easy,assassin,Assassin,8,1.0,1.70275,1.70275,3.5939975624619134,8,0.29829372333942716,334.2004875076173,0.9331145833333342,4000
easy,assassin,Assassin,9,1.0,1.7495,1.7495,3.7410114873937044,9,0.3009100402804714,365.5425928688647,0.9256696428571448,4000
easy,assassin,Assassin,10,1.0,1.64,1.64,4.28169459374012,10,0.32927600379386657,455.9351881125514,0.941252083333323,4000
easy,assassin,Assassin,11,1.0,1.63175,1.63175,4.608043408873284,11,0.3397701883179062,512.7390679859559,0.9421260080645253,4000
easy,assassin,Assassin,12,1.0,1.5545,1.5545,5.337018425460636,12,0.39045226130653266,632.0278056951424,0.9527500000000043,4000
