difficulty,class_name,class_label,level,win_rate,avg_rounds_to_kill,avg_rounds_all,avg_combo_len,max_combo_len,finisher_rate,avg_damage_per_attack,avg_end_hp_ratio,samples
hard,warrior,Warrior,1,0.92775,5.094583670169766,5.15875,1.0,1,0.0,51.71879009177933,0.22029310344827896,4000
hard,warrior,Warrior,2,1.0,4.15525,4.15525,1.5500151103052282,2,0.0,90.72215170746449,0.43882763975156064,4000
hard,warrior,Warrior,3,0.99775,4.171636181408168,4.1765,1.855392600639749,3,0.0,107.05576679340938,0.4623516949152543,4000
hard,warrior,Warrior,4,0.9995,3.9527263631815908,3.95375,2.1113954827564143,4,0.19483012348838696,137.4300339113187,0.5403497409326405,4000
hard,warrior,Warrior,5,0.99875,3.997246558197747,4.0005,2.2806319115323856,5,0.16865718799368087,157.50597156398103,0.5404029126213605,4000
hard,warrior,Warrior,6,0.99975,4.026756689172293,4.0275,2.4570746718583183,6,0.16937762984362242,178.82490736670226,0.5830774336283179,4000
hard,warrior,Warrior,7,0.9985,4.147721582373561,4.1525,2.502312279420713,7,0.15887793598636973,195.80735061457952,0.5801435950413214,4000
hard,warrior,Warrior,8,0.9995,4.078039019509755,4.0795,2.69988203886509,8,0.17874216179300925,227.61724715962004,0.6127248062015531,4000
hard,warrior,Warrior,9,0.9995,4.146823411705853,4.14825,2.8580858085808583,9,0.1872020535386872,248.72662266226624,0.6204279197080306,4000
hard,warrior,Warrior,10,0.999,4.165415415415415,4.169,2.9694113354414986,10,0.19837022622233033,278.4835806373145,0.6345577586206876,4000
hard,warrior,Warrior,11,0.99925,4.057292969727295,4.06025,3.2113363363363363,11,0.22122122122122123,320.8191941941942,0.6535511551155092,4000
hard,warrior,Warrior,12,0.9995,4.0142571285642825,4.01625,3.488401412002017,12,0.24703731719616742,356.83081190115985,0.6728534482758622,4000
hard,warrior,Warrior,13,1.0,3.981,3.981,3.6467176545570426,13,0.25035054174633525,394.88413001912045,0.687947014925371,4000
hard,warrior,Warrior,14,1.0,3.8565,3.8565,3.9944159768755747,14,0.27571935356720534,450.81014321376955,0.7117661971830966,4000
hard,warrior,Warrior,15,1.0,3.672,3.672,4.566687409251193,15,0.3143192975178041,526.8167046947383,0.7462378706199386,4000
hard,warrior,Warrior,16,1.0,3.528,3.528,5.099718391219582,16,0.33172070185572966,599.4811899776157,0.7638062015503795,4000
hard,warrior,Warrior,17,1.0,3.48625,3.48625,5.446166215919889,17,0.3415685987866384,659.5785395804401,0.7643743750000038,4000
hard,warrior,Warrior,18,1.0,3.1415,3.1415,6.646049222797927,18,0.38366256476683935,829.2470854922279,0.8085060096153823,4000
hard,warrior,Warrior,19,1.0,2.8965,2.8965,7.974624637808412,19,0.4110984283080165,983.8603038019141,0.8300046296296272,4000
hard,warrior,Warrior,20,1.0,2.8455,2.8455,8.402981054143845,20,0.4159109275388345,1101.7935709796175,0.8396930803571377,4000
hard,assassin,Assassin,1,0.6255,4.904076738609112,4.94,1.0,1,0.0,59.212634482758624,0.11737298387096735,4000
hard,assassin,Assassin,2,0.99625,3.858469259723965,3.86275,1.6214943976662468,2,0.0,103.86348869588278,0.3903767857142849,4000
