difficulty,class_name,class_label,level,win_rate,avg_rounds_to_kill,avg_rounds_all,avg_combo_len,max_combo_len,finisher_rate,avg_damage_per_attack,avg_end_hp_ratio,samples
normal,warrior,Warrior,1,1.0,4.822,4.822,1.0,1,0.0,51.01159253042383,0.43872586206897457,4000
normal,warrior,Warrior,2,1.0,3.55575,3.55575,1.5470752488007447,2,0.0,80.02011885157872,0.6462173913043461,4000
normal,warrior,Warrior,3,1.0,3.5545,3.5545,1.8475157053112508,3,0.0,95.87135922330097,0.6874223163841761,4000
normal,warrior,Warrior,4,1.0,3.24625,3.24625,2.1255394272263635,4,0.20031384856806592,123.63695566888975,0.7391126943005223,4000
normal,warrior,Warrior,5,1.0,3.299,3.299,2.2635473676096507,5,0.16295382717952672,141.73398597086256,0.7311007281553403,4000
normal,warrior,Warrior,6,1.0,3.27375,3.27375,2.4653873047937225,6,0.1733354051744231,163.96076450936212,0.7748318584070781,4000
normal,warrior,Warrior,7,1.0,3.39475,3.39475,2.4906888041283373,7,0.15346645725824545,179.99685887368184,0.7661694214875986,4000
normal,warrior,Warrior,8,1.0,3.324,3.324,2.683932265726764,8,0.1696421730135622,208.96973411999082,0.7820949612403102,4000
normal,warrior,Warrior,9,1.0,3.37375,3.37375,2.847930775018811,9,0.19541008276899924,231.25530474040633,0.7965009124087575,4000
normal,warrior,Warrior,10,1.0,3.36725,3.36725,2.9757942511346447,10,0.1985627836611195,260.45605143721633,0.8023525862069107,4000
normal,warrior,Warrior,11,1.0,3.231,3.231,3.272885101010101,11,0.22758838383838384,303.05334595959596,0.8123448844884398,4000
normal,warrior,Warrior,12,1.0,3.27025,3.27025,3.463418443038963,12,0.2441633481689701,332.1942687592723,0.8238573667711573,4000
normal,warrior,Warrior,13,1.0,3.2245,3.2245,3.6409403942056517,13,0.25876672207709966,372.79323992717485,0.8295164179104464,4000
normal,warrior,Warrior,14,1.0,3.13425,3.13425,3.9946262823644356,14,0.2789447972642892,423.9689789936492,0.8429640845070528,4000
normal,warrior,Warrior,15,1.0,2.999,2.999,4.556161117261347,15,0.3133781827471685,495.75738737971557,0.8593739892183277,4000
normal,warrior,Warrior,16,1.0,2.87325,2.87325,5.1006075768406,16,0.32835954253037886,569.7502680486061,0.8714612403100509,4000
normal,warrior,Warrior,17,1.0,2.805,2.805,5.5083219645293315,17,0.35097771714415643,635.0799454297407,0.8754149999999995,4000
normal,warrior,Warrior,18,1.0,2.5615,2.5615,6.547283098168718,18,0.3728610027018913,777.0149104373061,0.8965138221153895,4000
normal,warrior,Warrior,19,1.0,2.375,2.375,7.849649973074852,19,0.41421647819063007,928.9965535810447,0.9120798611111203,4000
normal,warrior,Warrior,20,1.0,2.33675,2.33675,8.27513691128149,20,0.4123767798466594,1038.7122672508215,0.9151707589285644,4000
normal,assassin,Assassin,1,1.0,4.056,4.056,1.0,1,0.0,51.51231338522394,0.4628205645161341,4000
normal,assassin,Assassin,2,1.0,3.04275,3.04275,1.6263135412217,2,0.0,87.06074327210594,0.6644767857142877,4000
normal,assassin,Assassin,3,1.0,2.81675,2.81675,2.033241252302026,3,0.0,115.03830570902394,0.7128124999999934,4000
normal,assassin,Assassin,4,1.0,2.56675,2.56675,2.4273331989518243,4,0.3065914130215682,159.3131425115904,0.7730198170731661,4000
normal,assassin,Assassin,5,1.0,2.521,2.521,2.7093692212862135,5,0.2686459831518389,190.4447298130265,0.7832244318181845,4000
normal,assassin,Assassin,6,1.0,2.42925,2.42925,2.9337542808219177,6,0.2577054794520548,233.13152825342465,0.8061063829787257,4000
normal,assassin,Assassin,7,1.0,2.409,2.409,3.1842728055077454,7,0.2666738382099828,270.08724182444064,0.8100249999999987,4000
normal,assassin,Assassin,8,1.0,2.2145,2.2145,3.559610420089181,8,0.29934287725885944,341.34757099272474,0.8412025462963065,4000
normal,assassin,Assassin,9,1.0,2.25975,2.25975,3.7461964038727524,9,0.2955278930382665,380.6572153065929,0.8350334821428562,4000
normal,assassin,Assassin,10,1.0,2.1315,2.1315,4.244251467710372,10,0.32999021526418787,468.1017612524462,0.8620479166666624,4000
normal,assassin,Assassin,11,1.0,2.0865,2.0865,4.5807697098019675,11,0.35371777307261176,529.6280981442271,0.8636572580644986,4000
normal,assassin,Assassin,12,1.0,1.97425,1.97425,5.245706737120211,12,0.3727873183619551,640.4129458388376,0.8873560606060764,4000
normal,assassin,Assassin,13,1.0,1.778,1.778,6.546171829339568,13,0.44593804792518993,826.5549386323787,0.9089239130434809,4000
normal,assassin,Assassin,14,1.0,1.72925,1.72925,7.220463032113518,14,0.4549663928304705,942.1457804331591,0.914442708333331,4000
normal,assassin,Assassin,15,1.0,1.7095,1.7095,7.768078668683812,15,0.4653555219364599,1062.6924357034795,0.917131666666658,4000
normal,assassin,Assassin,16,1.0,1.73975,1.73975,7.898557191729883,16,0.4371560315335416,1149.8701472556895,0.9200332278481094,4000
normal,assassin,Assassin,17,1.0,1.76775,1.76775,8.060961313012896,17,0.4388921453692849,1237.2778429073858,0.9155979938271714,4000
normal,assassin,Assassin,18,1.0,1.801,1.801,8.146330935251799,18,0.4256115107913669,1289.636690647482,0.9139625000000045,4000
normal,assassin,Assassin,19,1.0,1.8395,1.8395,8.179780033840947,19,0.4208967851099831,1354.107021996616,0.9124403409090813,4000
normal,assassin,Assassin,20,1.0,1.88,1.88,8.181190443308935,20,0.406435575196796,1446.3679049854993,0.9098509615384557,4000
normal,mage,Mage,1,0.991,4.403380423814329,4.40875,1.0,1,0.0,51.35458004097161,0.32826293103448273,4000
normal,mage,Mage,2,0.9995,3.234617308654327,3.2355,1.6178719337368588,2,0.0,84.05359987257089,0.57659375,4000
normal,mage,Mage,3,1.0,2.936,2.936,2.0904311251314405,3,0.0,110.96275849982474,0.661023214285719,4000
normal,mage,Mage,4,1.0,2.612,2.612,2.543147709320695,4,0.3451816745655608,153.87193917851502,0.7216513157894898,4000
normal,mage,Mage,5,1.0,2.571,2.571,2.8788061501356648,5,0.31574716108933776,184.30549693498142,0.7406996951219537,4000
normal,mage,Mage,6,1.0,2.45775,2.45775,3.2514019680457094,6,0.31943709660353403,224.99841286636334,0.77197017045454,4000
normal,mage,Mage,7,1.0,2.3945,2.3945,3.602708559046587,7,0.3280606717226435,273.1145178764897,0.7942734375000008,4000
normal,mage,Mage,8,1.0,2.1725,2.1725,4.2407935376574,8,0.37942504157757184,347.84129246851984,0.8231437499999884,4000
normal,mage,Mage,9,1.0,1.992,1.992,4.965928229045213,9,0.42311180204689725,438.1961393962949,0.8613807870370318,4000
normal,mage,Mage,10,1.0,1.8695,1.8695,5.77292817679558,10,0.474585635359116,535.7041436464089,0.8760703124999989,4000
normal,mage,Mage,11,1.0,1.66625,1.66625,6.835956790123457,11,0.5223765432098766,696.7123456790124,0.9061083333333249,4000
normal,mage,Mage,12,1.0,1.64625,1.64625,7.190297339593115,12,0.5028169014084507,804.9575899843505,0.910864087301592,4000
normal,mage,Mage,13,1.0,1.67625,1.67625,7.48462597521799,13,0.5043597980725103,874.6376013461833,0.9063990384615327,4000
normal,mage,Mage,14,1.0,1.70925,1.70925,7.646952595936795,14,0.4762979683972912,956.0978179082017,0.9070489130434829,4000
normal,mage,Mage,15,1.0,1.7555,1.7555,7.6683306416091614,15,0.44809866392600206,1009.8446630450742,0.9010824652777855,4000
normal,mage,Mage,16,1.0,1.7545,1.7545,7.979240282685512,16,0.45067726737338043,1134.8648409893992,0.9068641666666534,4000
normal,mage,Mage,17,1.0,1.78425,1.78425,7.976432935699738,17,0.4402094850160023,1202.3412860052372,0.9033709935897426,4000
normal,mage,Mage,18,1.0,1.8185,1.8185,8.059250818971657,18,0.4288562882780231,1271.3725964962257,0.9003657407407313,4000
normal,mage,Mage,19,1.0,1.83475,1.83475,8.243705799151344,19,0.42503536067892506,1369.723620933522,0.9009367559523849,4000
normal,mage,Mage,20,1.0,1.8545,1.8545,8.376770935615093,20,0.4173095805863375,1485.0533034086127,0.9034005681818341,4000
normal,priest,Priest,1,1.0,4.99275,4.99275,1.0,1,0.0,42.99608669476219,0.30246511627906136,4000
normal,priest,Priest,2,1.0,3.92375,3.92375,1.6952917557153033,2,0.0,72.95686807849232,0.5369413793103428,4000
normal,priest,Priest,3,1.0,3.617,3.617,2.280639932341955,3,0.0,91.457608006202,0.6103519108280262,4000
normal,priest,Priest,4,1.0,3.061,3.061,2.8401170079398246,4,0.4600919348098621,125.78796489761805,0.7102958579881831,4000
normal,priest,Priest,5,1.0,2.82,2.82,3.3663222765996013,5,0.45296356715606306,160.873572593801,0.7422829670329698,4000
normal,priest,Priest,6,1.0,2.60325,2.60325,4.113672182821119,6,0.5135933806146572,207.9697596532703,0.7894327411167539,4000
normal,priest,Priest,7,1.0,2.40575,2.40575,5.012215848735925,7,0.5785001062247717,264.0310176333121,0.8191023809523663,4000
normal,priest,Priest,8,1.0,2.19575,2.19575,5.824499824499824,8,0.6088686088686088,340.5727155727156,0.8502721238938096,4000
normal,priest,Priest,9,1.0,2.25875,2.25875,6.192858767341369,9,0.5741414600864225,376.4421196270184,0.8448823529411587,4000
normal,priest,Priest,10,1.0,2.22125,2.22125,6.625043803294008,10,0.5550753416656933,431.4305571778998,0.8522690000000132,4000
normal,priest,Priest,11,1.0,2.2445,2.2445,6.905338406549061,11,0.5255390291709904,480.20661824051655,0.8527129277566483,4000
normal,priest,Priest,12,1.0,2.23675,2.23675,7.07695879280325,12,0.5013348810214742,533.80824143935,0.8662069892472948,4000
normal,priest,Priest,13,1.0,2.267,2.267,7.364613098639844,13,0.48759858269516515,578.9876557320837,0.8669702380952418,4000
normal,priest,Priest,14,1.0,2.305,2.305,7.6021770845023005,14,0.4739086522275839,628.6679385029738,0.8615187296416891,4000
normal,priest,Priest,15,1.0,2.31525,2.31525,7.6988814317673375,15,0.4483221476510067,677.6002237136465,0.8693986068111348,4000
normal,priest,Priest,16,1.0,2.285,2.285,7.994261926192619,16,0.4527452745274527,752.3844509450945,0.8712635951661573,4000
