difficulty,class_name,class_label,level,win_rate,avg_rounds_to_kill,avg_rounds_all,avg_combo_len,max_combo_len,finisher_rate,avg_damage_per_attack,avg_end_hp_ratio,samples
elite,warrior,Warrior,1,0.01125,6.8,5.62725,1.0,1,0.0,44.15715980159586,0.001446551724137931,4000
elite,warrior,Warrior,2,0.40575,5.064695009242144,5.3265,1.5472940676615858,2,0.0,85.63720856126189,0.07658385093167698,4000
elite,warrior,Warrior,3,0.483,5.034679089026915,5.47925,1.8348279880427623,3,0.0,100.45559102193849,0.1077556497175141,4000
elite,warrior,Warrior,4,0.74075,4.661154235572055,5.019,2.118435694981718,4,0.19781675586879338,138.04234009856393,0.2208147668393773,4000
elite,warrior,Warrior,5,0.71525,4.76301992310381,5.1515,2.2530314022178466,5,0.15898020520261166,156.64426365426468,0.2096699029126213,4000
elite,warrior,Warrior,6,0.774,4.830103359173127,5.17775,2.464471403812825,6,0.1655112651646447,180.9681415027016,0.2564568584070805,4000
elite,warrior,Warrior,7,0.7405,5.1036461850101285,5.46275,2.4929358644462787,7,0.1606544642423654,194.4729815021605,0.23327272727272708,4000
elite,warrior,Warrior,8,0.7925,5.032492113564669,5.357,2.6962112288967415,8,0.17662936788378483,227.42702198665097,0.27792926356589076,4000
elite,warrior,Warrior,9,0.799,5.236545682102628,5.57125,2.8361890416117492,9,0.18725287139898325,245.90081905479195,0.28292974452554703,4000
elite,warrior,Warrior,10,0.83975,5.336707353378982,5.60275,2.9467155997398495,10,0.19460187680014865,274.94727306513056,0.3026077586206901,4000
elite,warrior,Warrior,11,0.8775,5.151566951566951,5.37875,3.2300313328512895,11,0.21788382742829598,321.39802362014944,0.3454405940594059,4000
elite,warrior,Warrior,12,0.91,5.232692307692307,5.412,3.474854748071245,12,0.24283265072864083,353.79121821125824,0.37442711598746187,4000
elite,warrior,Warrior,13,0.922,5.203362255965293,5.3605,3.6651307895368372,13,0.26004319654427643,395.7177825773938,0.3955440298507473,4000
elite,warrior,Warrior,14,0.95025,5.129702709813207,5.23475,3.9833006856023507,14,0.27835455435847206,448.81390793339864,0.42796478873239435,4000
elite,warrior,Warrior,15,0.98,4.865051020408163,4.913,4.581425598335068,15,0.31170655567117583,528.3323621227887,0.4937230458221029,4000
elite,warrior,Warrior,16,0.98725,4.713091922005571,4.74475,5.101075268817205,16,0.3339247311827957,602.4966666666667,0.5281899224806259,4000
elite,warrior,Warrior,17,0.9855,4.640284119736174,4.677,5.486218965328667,17,0.34080717488789236,667.9093295417259,0.5347043750000019,4000
elite,warrior,Warrior,18,0.9965,4.13296537882589,4.144,6.6543232734678766,18,0.3782632845769302,835.3319755600814,0.6242043269230777,4000
elite,warrior,Warrior,19,0.99875,3.821276595744681,3.8255,7.930054061269439,19,0.41767336314489756,987.4350931055196,0.6696302083333351,4000
elite,warrior,Warrior,20,0.9995,3.691845922961481,3.694,8.387340020754065,20,0.4135593220338983,1109.213420961605,0.6911378348214244,4000
elite,assassin,Assassin,1,0.13875,5.297297297297297,5.06225,1.0,1,0.0,53.72744102717229,0.019352822580645135,4000
elite,assassin,Assassin,2,0.693,4.292207792207792,4.46025,1.6207084799223583,2,0.0,111.15091592866675,0.10555357142857125,4000
elite,assassin,Assassin,3,0.73025,4.146525162615543,4.2885,2.0203351534550933,3,0.0,141.90284315571455,0.14549155405405367,4000
elite,assassin,Assassin,4,0.89075,3.9489194499017684,4.06225,2.4122711211050434,4,0.2972052682300032,187.21182139415356,0.27012500000000056,4000
elite,assassin,Assassin,5,0.9,3.8986111111111112,4.014,2.7059895833333334,5,0.26751302083333334,223.367578125,0.29813210227272763,4000
elite,assassin,Assassin,6,0.90425,3.8476638097871163,3.96275,2.8987566607460034,6,0.25149661206499574,262.5688441549898,0.3209773936170215,4000
elite,assassin,Assassin,7,0.9275,3.792722371967655,3.8875,3.208127585746697,7,0.2780595222207394,309.1536100360336,0.3441687500000025,4000
elite,assassin,Assassin,8,0.9595,3.6133402813965607,3.6785,3.540460803596516,8,0.291373981455465,379.24978926664795,0.4204953703703713,4000
